SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/TileAndMemTop.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/TileAndMemTop.sv'.
SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/SignalTracker.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/SignalTracker.sv'.
SBY  0:06:07 [cover] engine_0: smtbmc boolector
SBY  0:06:07 [cover] base: starting process "cd cover/src; yosys -ql ../model/design.log ../model/design.ys"
SBY  0:06:25 [cover] base: finished (returncode=0)
SBY  0:06:26 [cover] smt2: starting process "cd cover/model; yosys -ql design_smt2.log design_smt2.ys"
SBY  0:06:35 [cover] smt2: finished (returncode=0)
SBY  0:06:35 [cover] engine_0: starting process "cd cover; yosys-smtbmc -s boolector --presat --unroll -c --noprogress -t 100  --append 0 --dump-vcd engine_0/trace%.vcd --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY  0:22:25 [cover] engine_0: ##   0:15:50  Writing trace to VCD file: engine_0/trace78.vcd
SBY  0:22:35 [cover] engine_0: ##   0:16:00  Writing trace to Verilog testbench: engine_0/trace78_tb.v
SBY  0:22:36 [cover] engine_0: ##   0:16:00  Writing trace to constraints file: engine_0/trace78.smtc
SBY  0:22:36 [cover] engine_0: ##   0:16:00  Checking cover reachability in step 14..
SBY  0:22:37 [cover] engine_0: ##   0:16:01  Reached cover statement at SignalTracker.sv:1064.22-1065.93 ($cover$SignalTracker.sv:1064$9541) in step 14.
SBY  0:22:37 [cover] engine_0: ##   0:16:01  Writing trace to VCD file: engine_0/trace79.vcd
SBY  0:22:47 [cover] engine_0: ##   0:16:12  Writing trace to Verilog testbench: engine_0/trace79_tb.v
SBY  0:22:47 [cover] engine_0: ##   0:16:12  Writing trace to constraints file: engine_0/trace79.smtc
SBY  0:22:47 [cover] engine_0: ##   0:16:12  Checking cover reachability in step 14..
SBY  0:22:48 [cover] engine_0: ##   0:16:13  Reached cover statement at SignalTracker.sv:881.22-882.93 ($cover$SignalTracker.sv:881$9480) in step 14.
SBY  0:22:48 [cover] engine_0: ##   0:16:13  Writing trace to VCD file: engine_0/trace80.vcd
SBY  0:22:58 [cover] engine_0: ##   0:16:23  Writing trace to Verilog testbench: engine_0/trace80_tb.v
SBY  0:22:59 [cover] engine_0: ##   0:16:24  Writing trace to constraints file: engine_0/trace80.smtc
SBY  0:22:59 [cover] engine_0: ##   0:16:24  Checking cover reachability in step 14..
SBY  0:23:00 [cover] engine_0: ##   0:16:25  Reached cover statement at SignalTracker.sv:584.22-585.93 ($cover$SignalTracker.sv:584$9381) in step 14.
SBY  0:23:00 [cover] engine_0: ##   0:16:25  Writing trace to VCD file: engine_0/trace81.vcd
SBY  0:23:10 [cover] engine_0: ##   0:16:35  Writing trace to Verilog testbench: engine_0/trace81_tb.v
SBY  0:23:10 [cover] engine_0: ##   0:16:35  Writing trace to constraints file: engine_0/trace81.smtc
SBY  0:23:11 [cover] engine_0: ##   0:16:35  Checking cover reachability in step 14..
SBY  0:23:12 [cover] engine_0: ##   0:16:36  Reached cover statement at SignalTracker.sv:569.22-570.93 ($cover$SignalTracker.sv:569$9376) in step 14.
SBY  0:23:12 [cover] engine_0: ##   0:16:36  Writing trace to VCD file: engine_0/trace82.vcd
SBY  0:23:22 [cover] engine_0: ##   0:16:47  Writing trace to Verilog testbench: engine_0/trace82_tb.v
SBY  0:23:22 [cover] engine_0: ##   0:16:47  Writing trace to constraints file: engine_0/trace82.smtc
SBY  0:23:22 [cover] engine_0: ##   0:16:47  Checking cover reachability in step 14..
SBY  0:23:23 [cover] engine_0: ##   0:16:48  Reached cover statement at SignalTracker.sv:830.22-831.93 ($cover$SignalTracker.sv:830$9463) in step 14.
SBY  0:23:23 [cover] engine_0: ##   0:16:48  Writing trace to VCD file: engine_0/trace83.vcd
SBY  0:23:34 [cover] engine_0: ##   0:16:58  Writing trace to Verilog testbench: engine_0/trace83_tb.v
SBY  0:23:34 [cover] engine_0: ##   0:16:59  Writing trace to constraints file: engine_0/trace83.smtc
SBY  0:23:34 [cover] engine_0: ##   0:16:59  Checking cover reachability in step 14..
SBY  0:23:35 [cover] engine_0: ##   0:17:00  Reached cover statement at SignalTracker.sv:611.22-612.93 ($cover$SignalTracker.sv:611$9390) in step 14.
SBY  0:23:35 [cover] engine_0: ##   0:17:00  Writing trace to VCD file: engine_0/trace84.vcd
SBY  0:23:45 [cover] engine_0: ##   0:17:10  Writing trace to Verilog testbench: engine_0/trace84_tb.v
SBY  0:23:46 [cover] engine_0: ##   0:17:11  Writing trace to constraints file: engine_0/trace84.smtc
SBY  0:23:46 [cover] engine_0: ##   0:17:11  Checking cover reachability in step 14..
SBY  0:23:47 [cover] engine_0: ##   0:17:12  Reached cover statement at SignalTracker.sv:515.22-516.93 ($cover$SignalTracker.sv:515$9358) in step 14.
SBY  0:23:47 [cover] engine_0: ##   0:17:12  Writing trace to VCD file: engine_0/trace85.vcd
SBY  0:23:57 [cover] engine_0: ##   0:17:22  Writing trace to Verilog testbench: engine_0/trace85_tb.v
SBY  0:23:57 [cover] engine_0: ##   0:17:22  Writing trace to constraints file: engine_0/trace85.smtc
SBY  0:23:58 [cover] engine_0: ##   0:17:22  Checking cover reachability in step 14..
SBY  0:23:59 [cover] engine_0: ##   0:17:23  Reached cover statement at SignalTracker.sv:473.22-474.93 ($cover$SignalTracker.sv:473$9344) in step 14.
SBY  0:23:59 [cover] engine_0: ##   0:17:23  Writing trace to VCD file: engine_0/trace86.vcd
SBY  0:24:09 [cover] engine_0: ##   0:17:34  Writing trace to Verilog testbench: engine_0/trace86_tb.v
SBY  0:24:09 [cover] engine_0: ##   0:17:34  Writing trace to constraints file: engine_0/trace86.smtc
SBY  0:24:09 [cover] engine_0: ##   0:17:34  Checking cover reachability in step 14..
SBY  0:24:10 [cover] engine_0: ##   0:17:35  Reached cover statement at SignalTracker.sv:1919.22-1920.98 ($cover$SignalTracker.sv:1919$9826) in step 14.
SBY  0:24:10 [cover] engine_0: ##   0:17:35  Reached cover statement at SignalTracker.sv:3176.22-3177.96 ($cover$SignalTracker.sv:3176$10245) in step 14.
SBY  0:24:10 [cover] engine_0: ##   0:17:35  Writing trace to VCD file: engine_0/trace87.vcd
SBY  0:24:21 [cover] engine_0: ##   0:17:45  Writing trace to Verilog testbench: engine_0/trace87_tb.v
SBY  0:24:21 [cover] engine_0: ##   0:17:46  Writing trace to constraints file: engine_0/trace87.smtc
SBY  0:24:21 [cover] engine_0: ##   0:17:46  Checking cover reachability in step 14..
SBY  0:24:22 [cover] engine_0: ##   0:17:47  Reached cover statement at SignalTracker.sv:1871.22-1872.96 ($cover$SignalTracker.sv:1871$9810) in step 14.
SBY  0:24:22 [cover] engine_0: ##   0:17:47  Writing trace to VCD file: engine_0/trace88.vcd
SBY  0:24:32 [cover] engine_0: ##   0:17:57  Writing trace to Verilog testbench: engine_0/trace88_tb.v
SBY  0:24:33 [cover] engine_0: ##   0:17:57  Writing trace to constraints file: engine_0/trace88.smtc
SBY  0:24:33 [cover] engine_0: ##   0:17:58  Checking cover reachability in step 14..
SBY  0:24:34 [cover] engine_0: ##   0:17:58  Reached cover statement at SignalTracker.sv:1883.22-1884.99 ($cover$SignalTracker.sv:1883$9814) in step 14.
SBY  0:24:34 [cover] engine_0: ##   0:17:58  Writing trace to VCD file: engine_0/trace89.vcd
SBY  0:24:44 [cover] engine_0: ##   0:18:09  Writing trace to Verilog testbench: engine_0/trace89_tb.v
SBY  0:24:44 [cover] engine_0: ##   0:18:09  Writing trace to constraints file: engine_0/trace89.smtc
SBY  0:24:44 [cover] engine_0: ##   0:18:09  Checking cover reachability in step 14..
SBY  0:24:45 [cover] engine_0: ##   0:18:10  Reached cover statement at SignalTracker.sv:1895.22-1896.99 ($cover$SignalTracker.sv:1895$9818) in step 14.
SBY  0:24:45 [cover] engine_0: ##   0:18:10  Writing trace to VCD file: engine_0/trace90.vcd
SBY  0:24:56 [cover] engine_0: ##   0:18:20  Writing trace to Verilog testbench: engine_0/trace90_tb.v
SBY  0:24:56 [cover] engine_0: ##   0:18:21  Writing trace to constraints file: engine_0/trace90.smtc
SBY  0:24:56 [cover] engine_0: ##   0:18:21  Checking cover reachability in step 14..
SBY  0:24:57 [cover] engine_0: ##   0:18:22  Reached cover statement at SignalTracker.sv:494.22-495.93 ($cover$SignalTracker.sv:494$9351) in step 14.
SBY  0:24:57 [cover] engine_0: ##   0:18:22  Writing trace to VCD file: engine_0/trace91.vcd
SBY  0:25:07 [cover] engine_0: ##   0:18:32  Writing trace to Verilog testbench: engine_0/trace91_tb.v
SBY  0:25:08 [cover] engine_0: ##   0:18:32  Writing trace to constraints file: engine_0/trace91.smtc
SBY  0:25:08 [cover] engine_0: ##   0:18:33  Checking cover reachability in step 14..
SBY  0:25:09 [cover] engine_0: ##   0:18:34  Reached cover statement at SignalTracker.sv:1907.22-1908.98 ($cover$SignalTracker.sv:1907$9822) in step 14.
SBY  0:25:09 [cover] engine_0: ##   0:18:34  Writing trace to VCD file: engine_0/trace92.vcd
SBY  0:25:19 [cover] engine_0: ##   0:18:44  Writing trace to Verilog testbench: engine_0/trace92_tb.v
SBY  0:25:19 [cover] engine_0: ##   0:18:44  Writing trace to constraints file: engine_0/trace92.smtc
SBY  0:25:20 [cover] engine_0: ##   0:18:44  Checking cover reachability in step 14..
SBY  0:25:21 [cover] engine_0: ##   0:18:45  Reached cover statement at SignalTracker.sv:1931.22-1932.98 ($cover$SignalTracker.sv:1931$9830) in step 14.
SBY  0:25:21 [cover] engine_0: ##   0:18:45  Writing trace to VCD file: engine_0/trace93.vcd
SBY  0:25:31 [cover] engine_0: ##   0:18:56  Writing trace to Verilog testbench: engine_0/trace93_tb.v
SBY  0:25:31 [cover] engine_0: ##   0:18:56  Writing trace to constraints file: engine_0/trace93.smtc
SBY  0:25:32 [cover] engine_0: ##   0:18:56  Checking cover reachability in step 14..
SBY  0:25:32 [cover] engine_0: ##   0:18:57  Reached cover statement at SignalTracker.sv:722.22-723.93 ($cover$SignalTracker.sv:722$9427) in step 14.
SBY  0:25:32 [cover] engine_0: ##   0:18:57  Writing trace to VCD file: engine_0/trace94.vcd
SBY  0:25:43 [cover] engine_0: ##   0:19:07  Writing trace to Verilog testbench: engine_0/trace94_tb.v
SBY  0:25:43 [cover] engine_0: ##   0:19:08  Writing trace to constraints file: engine_0/trace94.smtc
SBY  0:25:43 [cover] engine_0: ##   0:19:08  Checking cover reachability in step 14..
SBY  0:25:44 [cover] engine_0: ##   0:19:09  Reached cover statement at SignalTracker.sv:536.22-537.93 ($cover$SignalTracker.sv:536$9365) in step 14.
SBY  0:25:44 [cover] engine_0: ##   0:19:09  Writing trace to VCD file: engine_0/trace95.vcd
SBY  0:25:55 [cover] engine_0: ##   0:19:19  Writing trace to Verilog testbench: engine_0/trace95_tb.v
SBY  0:25:55 [cover] engine_0: ##   0:19:20  Writing trace to constraints file: engine_0/trace95.smtc
SBY  0:25:55 [cover] engine_0: ##   0:19:20  Checking cover reachability in step 14..
SBY  0:25:56 [cover] engine_0: ##   0:19:21  Checking cover reachability in step 15..
SBY  0:26:04 [cover] engine_0: ##   0:19:28  Reached cover statement at SignalTracker.sv:2114.22-2115.72 ($cover$SignalTracker.sv:2114$9891) in step 15.
SBY  0:26:04 [cover] engine_0: ##   0:19:28  Writing trace to VCD file: engine_0/trace96.vcd
SBY  0:26:15 [cover] engine_0: ##   0:19:40  Writing trace to Verilog testbench: engine_0/trace96_tb.v
SBY  0:26:15 [cover] engine_0: ##   0:19:40  Writing trace to constraints file: engine_0/trace96.smtc
SBY  0:26:15 [cover] engine_0: ##   0:19:40  Checking cover reachability in step 15..
SBY  0:26:18 [cover] engine_0: ##   0:19:42  Reached cover statement at SignalTracker.sv:1958.22-1959.85 ($cover$SignalTracker.sv:1958$9839) in step 15.
SBY  0:26:18 [cover] engine_0: ##   0:19:42  Writing trace to VCD file: engine_0/trace97.vcd
SBY  0:26:29 [cover] engine_0: ##   0:19:53  Writing trace to Verilog testbench: engine_0/trace97_tb.v
SBY  0:26:29 [cover] engine_0: ##   0:19:54  Writing trace to constraints file: engine_0/trace97.smtc
SBY  0:26:29 [cover] engine_0: ##   0:19:54  Checking cover reachability in step 15..
SBY  0:26:31 [cover] engine_0: ##   0:19:55  Reached cover statement at SignalTracker.sv:2039.22-2040.87 ($cover$SignalTracker.sv:2039$9866) in step 15.
SBY  0:26:31 [cover] engine_0: ##   0:19:56  Writing trace to VCD file: engine_0/trace98.vcd
SBY  0:26:42 [cover] engine_0: ##   0:20:06  Writing trace to Verilog testbench: engine_0/trace98_tb.v
SBY  0:26:42 [cover] engine_0: ##   0:20:07  Writing trace to constraints file: engine_0/trace98.smtc
SBY  0:26:42 [cover] engine_0: ##   0:20:07  Checking cover reachability in step 15..
SBY  0:26:45 [cover] engine_0: ##   0:20:10  Reached cover statement at SignalTracker.sv:3434.22-3435.80 ($cover$SignalTracker.sv:3434$10331) in step 15.
SBY  0:26:45 [cover] engine_0: ##   0:20:10  Writing trace to VCD file: engine_0/trace99.vcd
SBY  0:26:56 [cover] engine_0: ##   0:20:21  Writing trace to Verilog testbench: engine_0/trace99_tb.v
SBY  0:26:56 [cover] engine_0: ##   0:20:21  Writing trace to constraints file: engine_0/trace99.smtc
SBY  0:26:56 [cover] engine_0: ##   0:20:21  Checking cover reachability in step 15..
SBY  0:26:58 [cover] engine_0: ##   0:20:23  Reached cover statement at SignalTracker.sv:2210.22-2211.94 ($cover$SignalTracker.sv:2210$9923) in step 15.
SBY  0:26:58 [cover] engine_0: ##   0:20:23  Reached cover statement at SignalTracker.sv:365.22-366.73 ($cover$SignalTracker.sv:365$9308) in step 15.
SBY  0:26:58 [cover] engine_0: ##   0:20:23  Reached cover statement at SignalTracker.sv:4100.22-4101.88 ($cover$SignalTracker.sv:4100$10553) in step 15.
SBY  0:26:58 [cover] engine_0: ##   0:20:23  Writing trace to VCD file: engine_0/trace100.vcd
SBY  0:27:09 [cover] engine_0: ##   0:20:34  Writing trace to Verilog testbench: engine_0/trace100_tb.v
SBY  0:27:09 [cover] engine_0: ##   0:20:34  Writing trace to constraints file: engine_0/trace100.smtc
SBY  0:27:09 [cover] engine_0: ##   0:20:34  Checking cover reachability in step 15..
SBY  0:27:11 [cover] engine_0: ##   0:20:36  Reached cover statement at SignalTracker.sv:3422.22-3423.73 ($cover$SignalTracker.sv:3422$10327) in step 15.
SBY  0:27:11 [cover] engine_0: ##   0:20:36  Writing trace to VCD file: engine_0/trace101.vcd
SBY  0:27:22 [cover] engine_0: ##   0:20:47  Writing trace to Verilog testbench: engine_0/trace101_tb.v
SBY  0:27:22 [cover] engine_0: ##   0:20:47  Writing trace to constraints file: engine_0/trace101.smtc
SBY  0:27:22 [cover] engine_0: ##   0:20:47  Checking cover reachability in step 15..
SBY  0:27:24 [cover] engine_0: ##   0:20:48  Reached cover statement at SignalTracker.sv:3425.22-3426.73 ($cover$SignalTracker.sv:3425$10328) in step 15.
SBY  0:27:24 [cover] engine_0: ##   0:20:48  Reached cover statement at SignalTracker.sv:3428.22-3429.74 ($cover$SignalTracker.sv:3428$10329) in step 15.
SBY  0:27:24 [cover] engine_0: ##   0:20:48  Writing trace to VCD file: engine_0/trace102.vcd
SBY  0:27:35 [cover] engine_0: ##   0:20:59  Writing trace to Verilog testbench: engine_0/trace102_tb.v
SBY  0:27:35 [cover] engine_0: ##   0:21:00  Writing trace to constraints file: engine_0/trace102.smtc
SBY  0:27:35 [cover] engine_0: ##   0:21:00  Checking cover reachability in step 15..
SBY  0:27:36 [cover] engine_0: ##   0:21:01  Reached cover statement at SignalTracker.sv:3431.22-3432.81 ($cover$SignalTracker.sv:3431$10330) in step 15.
SBY  0:27:36 [cover] engine_0: ##   0:21:01  Writing trace to VCD file: engine_0/trace103.vcd
SBY  0:27:47 [cover] engine_0: ##   0:21:12  Writing trace to Verilog testbench: engine_0/trace103_tb.v
SBY  0:27:48 [cover] engine_0: ##   0:21:12  Writing trace to constraints file: engine_0/trace103.smtc
SBY  0:27:48 [cover] engine_0: ##   0:21:13  Checking cover reachability in step 15..
SBY  0:27:49 [cover] engine_0: ##   0:21:14  Reached cover statement at SignalTracker.sv:3416.22-3417.67 ($cover$SignalTracker.sv:3416$10325) in step 15.
SBY  0:27:49 [cover] engine_0: ##   0:21:14  Writing trace to VCD file: engine_0/trace104.vcd
SBY  0:28:00 [cover] engine_0: ##   0:21:25  Writing trace to Verilog testbench: engine_0/trace104_tb.v
SBY  0:28:00 [cover] engine_0: ##   0:21:25  Writing trace to constraints file: engine_0/trace104.smtc
SBY  0:28:01 [cover] engine_0: ##   0:21:25  Checking cover reachability in step 15..
SBY  0:28:02 [cover] engine_0: ##   0:21:26  Checking cover reachability in step 16..
SBY  0:28:09 [cover] engine_0: ##   0:21:34  Reached cover statement at SignalTracker.sv:3836.22-3837.82 ($cover$SignalTracker.sv:3836$10465) in step 16.
SBY  0:28:09 [cover] engine_0: ##   0:21:34  Reached cover statement at SignalTracker.sv:3842.22-3843.83 ($cover$SignalTracker.sv:3842$10467) in step 16.
SBY  0:28:09 [cover] engine_0: ##   0:21:34  Reached cover statement at SignalTracker.sv:3845.22-3846.90 ($cover$SignalTracker.sv:3845$10468) in step 16.
SBY  0:28:09 [cover] engine_0: ##   0:21:34  Writing trace to VCD file: engine_0/trace105.vcd
SBY  0:28:21 [cover] engine_0: ##   0:21:45  Writing trace to Verilog testbench: engine_0/trace105_tb.v
SBY  0:28:21 [cover] engine_0: ##   0:21:46  Writing trace to constraints file: engine_0/trace105.smtc
SBY  0:28:21 [cover] engine_0: ##   0:21:46  Checking cover reachability in step 16..
SBY  0:28:24 [cover] engine_0: ##   0:21:49  Reached cover statement at SignalTracker.sv:3440.22-3441.77 ($cover$SignalTracker.sv:3440$10333) in step 16.
SBY  0:28:24 [cover] engine_0: ##   0:21:49  Writing trace to VCD file: engine_0/trace106.vcd
SBY  0:28:36 [cover] engine_0: ##   0:22:00  Writing trace to Verilog testbench: engine_0/trace106_tb.v
SBY  0:28:36 [cover] engine_0: ##   0:22:01  Writing trace to constraints file: engine_0/trace106.smtc
SBY  0:28:36 [cover] engine_0: ##   0:22:01  Checking cover reachability in step 16..
SBY  0:28:42 [cover] engine_0: ##   0:22:06  Reached cover statement at SignalTracker.sv:3830.22-3831.76 ($cover$SignalTracker.sv:3830$10463) in step 16.
SBY  0:28:42 [cover] engine_0: ##   0:22:06  Writing trace to VCD file: engine_0/trace107.vcd
SBY  0:28:53 [cover] engine_0: ##   0:22:18  Writing trace to Verilog testbench: engine_0/trace107_tb.v
SBY  0:28:54 [cover] engine_0: ##   0:22:19  Writing trace to constraints file: engine_0/trace107.smtc
SBY  0:28:54 [cover] engine_0: ##   0:22:19  Checking cover reachability in step 16..
SBY  0:28:56 [cover] engine_0: ##   0:22:21  Reached cover statement at SignalTracker.sv:3848.22-3849.89 ($cover$SignalTracker.sv:3848$10469) in step 16.
SBY  0:28:56 [cover] engine_0: ##   0:22:21  Writing trace to VCD file: engine_0/trace108.vcd
SBY  0:29:08 [cover] engine_0: ##   0:22:33  Writing trace to Verilog testbench: engine_0/trace108_tb.v
SBY  0:29:08 [cover] engine_0: ##   0:22:33  Writing trace to constraints file: engine_0/trace108.smtc
SBY  0:29:08 [cover] engine_0: ##   0:22:33  Checking cover reachability in step 16..
SBY  0:29:13 [cover] engine_0: ##   0:22:38  Reached cover statement at SignalTracker.sv:2036.22-2037.86 ($cover$SignalTracker.sv:2036$9865) in step 16.
SBY  0:29:13 [cover] engine_0: ##   0:22:38  Writing trace to VCD file: engine_0/trace109.vcd
SBY  0:29:25 [cover] engine_0: ##   0:22:49  Writing trace to Verilog testbench: engine_0/trace109_tb.v
SBY  0:29:25 [cover] engine_0: ##   0:22:50  Writing trace to constraints file: engine_0/trace109.smtc
SBY  0:29:25 [cover] engine_0: ##   0:22:50  Checking cover reachability in step 16..
SBY  0:29:26 [cover] engine_0: ##   0:22:51  Reached cover statement at SignalTracker.sv:1955.22-1956.84 ($cover$SignalTracker.sv:1955$9838) in step 16.
SBY  0:29:26 [cover] engine_0: ##   0:22:51  Writing trace to VCD file: engine_0/trace110.vcd
SBY  0:29:38 [cover] engine_0: ##   0:23:03  Writing trace to Verilog testbench: engine_0/trace110_tb.v
SBY  0:29:39 [cover] engine_0: ##   0:23:03  Writing trace to constraints file: engine_0/trace110.smtc
SBY  0:29:39 [cover] engine_0: ##   0:23:03  Checking cover reachability in step 16..
SBY  0:29:40 [cover] engine_0: ##   0:23:05  Reached cover statement at SignalTracker.sv:3839.22-3840.82 ($cover$SignalTracker.sv:3839$10466) in step 16.
SBY  0:29:40 [cover] engine_0: ##   0:23:05  Writing trace to VCD file: engine_0/trace111.vcd
SBY  0:29:52 [cover] engine_0: ##   0:23:17  Writing trace to Verilog testbench: engine_0/trace111_tb.v
SBY  0:29:52 [cover] engine_0: ##   0:23:17  Writing trace to constraints file: engine_0/trace111.smtc
SBY  0:29:53 [cover] engine_0: ##   0:23:17  Checking cover reachability in step 16..
SBY  0:29:54 [cover] engine_0: ##   0:23:19  Reached cover statement at SignalTracker.sv:2108.22-2109.86 ($cover$SignalTracker.sv:2108$9889) in step 16.
SBY  0:29:54 [cover] engine_0: ##   0:23:19  Writing trace to VCD file: engine_0/trace112.vcd
SBY  0:30:06 [cover] engine_0: ##   0:23:31  Writing trace to Verilog testbench: engine_0/trace112_tb.v
SBY  0:30:06 [cover] engine_0: ##   0:23:31  Writing trace to constraints file: engine_0/trace112.smtc
SBY  0:30:07 [cover] engine_0: ##   0:23:31  Checking cover reachability in step 16..
SBY  0:30:08 [cover] engine_0: ##   0:23:32  Checking cover reachability in step 17..
SBY  0:30:14 [cover] engine_0: ##   0:23:39  Reached cover statement at SignalTracker.sv:3464.22-3465.67 ($cover$SignalTracker.sv:3464$10341) in step 17.
SBY  0:30:14 [cover] engine_0: ##   0:23:39  Writing trace to VCD file: engine_0/trace113.vcd
SBY  0:30:27 [cover] engine_0: ##   0:23:52  Writing trace to Verilog testbench: engine_0/trace113_tb.v
SBY  0:30:27 [cover] engine_0: ##   0:23:52  Writing trace to constraints file: engine_0/trace113.smtc
SBY  0:30:28 [cover] engine_0: ##   0:23:52  Checking cover reachability in step 17..
SBY  0:30:32 [cover] engine_0: ##   0:23:57  Reached cover statement at SignalTracker.sv:2117.22-2118.89 ($cover$SignalTracker.sv:2117$9892) in step 17.
SBY  0:30:32 [cover] engine_0: ##   0:23:57  Reached cover statement at SignalTracker.sv:2120.22-2121.87 ($cover$SignalTracker.sv:2120$9893) in step 17.
SBY  0:30:32 [cover] engine_0: ##   0:23:57  Writing trace to VCD file: engine_0/trace114.vcd
SBY  0:30:45 [cover] engine_0: ##   0:24:09  Writing trace to Verilog testbench: engine_0/trace114_tb.v
SBY  0:30:45 [cover] engine_0: ##   0:24:10  Writing trace to constraints file: engine_0/trace114.smtc
SBY  0:30:45 [cover] engine_0: ##   0:24:10  Checking cover reachability in step 17..
SBY  0:30:49 [cover] engine_0: ##   0:24:14  Reached cover statement at SignalTracker.sv:3482.22-3483.80 ($cover$SignalTracker.sv:3482$10347) in step 17.
SBY  0:30:49 [cover] engine_0: ##   0:24:14  Writing trace to VCD file: engine_0/trace115.vcd
SBY  0:31:01 [cover] engine_0: ##   0:24:26  Writing trace to Verilog testbench: engine_0/trace115_tb.v
SBY  0:31:02 [cover] engine_0: ##   0:24:26  Writing trace to constraints file: engine_0/trace115.smtc
SBY  0:31:02 [cover] engine_0: ##   0:24:27  Checking cover reachability in step 17..
SBY  0:31:04 [cover] engine_0: ##   0:24:29  Reached cover statement at SignalTracker.sv:3470.22-3471.73 ($cover$SignalTracker.sv:3470$10343) in step 17.
SBY  0:31:04 [cover] engine_0: ##   0:24:29  Reached cover statement at SignalTracker.sv:3476.22-3477.74 ($cover$SignalTracker.sv:3476$10345) in step 17.
SBY  0:31:04 [cover] engine_0: ##   0:24:29  Reached cover statement at SignalTracker.sv:3479.22-3480.81 ($cover$SignalTracker.sv:3479$10346) in step 17.
SBY  0:31:04 [cover] engine_0: ##   0:24:29  Writing trace to VCD file: engine_0/trace116.vcd
SBY  0:31:16 [cover] engine_0: ##   0:24:41  Writing trace to Verilog testbench: engine_0/trace116_tb.v
SBY  0:31:17 [cover] engine_0: ##   0:24:41  Writing trace to constraints file: engine_0/trace116.smtc
SBY  0:31:17 [cover] engine_0: ##   0:24:41  Checking cover reachability in step 17..
SBY  0:31:18 [cover] engine_0: ##   0:24:43  Reached cover statement at SignalTracker.sv:3854.22-3855.86 ($cover$SignalTracker.sv:3854$10471) in step 17.
SBY  0:31:18 [cover] engine_0: ##   0:24:43  Writing trace to VCD file: engine_0/trace117.vcd
SBY  0:31:30 [cover] engine_0: ##   0:24:55  Writing trace to Verilog testbench: engine_0/trace117_tb.v
SBY  0:31:31 [cover] engine_0: ##   0:24:56  Writing trace to constraints file: engine_0/trace117.smtc
SBY  0:31:31 [cover] engine_0: ##   0:24:56  Checking cover reachability in step 17..
SBY  0:31:33 [cover] engine_0: ##   0:24:57  Reached cover statement at SignalTracker.sv:1580.22-1581.79 ($cover$SignalTracker.sv:1580$9713) in step 17.
SBY  0:31:33 [cover] engine_0: ##   0:24:57  Writing trace to VCD file: engine_0/trace118.vcd
SBY  0:31:45 [cover] engine_0: ##   0:25:10  Writing trace to Verilog testbench: engine_0/trace118_tb.v
SBY  0:31:45 [cover] engine_0: ##   0:25:10  Writing trace to constraints file: engine_0/trace118.smtc
SBY  0:31:45 [cover] engine_0: ##   0:25:10  Checking cover reachability in step 17..
SBY  0:31:47 [cover] engine_0: ##   0:25:12  Reached cover statement at SignalTracker.sv:3473.22-3474.73 ($cover$SignalTracker.sv:3473$10344) in step 17.
SBY  0:31:47 [cover] engine_0: ##   0:25:12  Writing trace to VCD file: engine_0/trace119.vcd
SBY  0:31:59 [cover] engine_0: ##   0:25:24  Writing trace to Verilog testbench: engine_0/trace119_tb.v
SBY  0:32:00 [cover] engine_0: ##   0:25:24  Writing trace to constraints file: engine_0/trace119.smtc
SBY  0:32:00 [cover] engine_0: ##   0:25:25  Checking cover reachability in step 17..
SBY  0:32:01 [cover] engine_0: ##   0:25:26  Checking cover reachability in step 18..
SBY  0:32:15 [cover] engine_0: ##   0:25:40  Reached cover statement at SignalTracker.sv:3488.22-3489.77 ($cover$SignalTracker.sv:3488$10349) in step 18.
SBY  0:32:15 [cover] engine_0: ##   0:25:40  Writing trace to VCD file: engine_0/trace120.vcd
SBY  0:32:28 [cover] engine_0: ##   0:25:53  Writing trace to Verilog testbench: engine_0/trace120_tb.v
SBY  0:32:28 [cover] engine_0: ##   0:25:53  Writing trace to constraints file: engine_0/trace120.smtc
SBY  0:32:29 [cover] engine_0: ##   0:25:53  Checking cover reachability in step 18..
SBY  0:32:31 [cover] engine_0: ##   0:25:55  Reached cover statement at SignalTracker.sv:3515.22-3516.67 ($cover$SignalTracker.sv:3515$10358) in step 18.
SBY  0:32:31 [cover] engine_0: ##   0:25:55  Writing trace to VCD file: engine_0/trace121.vcd
SBY  0:32:44 [cover] engine_0: ##   0:26:08  Writing trace to Verilog testbench: engine_0/trace121_tb.v
SBY  0:32:44 [cover] engine_0: ##   0:26:09  Writing trace to constraints file: engine_0/trace121.smtc
SBY  0:32:44 [cover] engine_0: ##   0:26:09  Checking cover reachability in step 18..
SBY  0:32:46 [cover] engine_0: ##   0:26:10  Reached cover statement at SignalTracker.sv:3533.22-3534.80 ($cover$SignalTracker.sv:3533$10364) in step 18.
